SYSTEM REPORT
Generated on: 2025-02-06 21:13:28.040549

Disk Usage: 81.35GB used, 36.74GB free

Running Processes:
PID: 0 | Name: System Idle Process | CPU: 0.0%
PID: 4 | Name: System | CPU: 0.0%
PID: 76 | Name:  | CPU: 0.0%
PID: 124 | Name: Registry | CPU: 0.0%
PID: 508 | Name: smss.exe | CPU: 0.0%
PID: 624 | Name: services.exe | CPU: 0.0%
PID: 652 | Name: winlogon.exe | CPU: 0.0%
PID: 684 | Name: dllhost.exe | CPU: 0.0%
PID: 724 | Name: LsaIso.exe | CPU: 0.0%
PID: 844 | Name: ApplicationFrameHost.exe | CPU: 0.0%
PID: 856 | Name: csrss.exe | CPU: 0.0%
PID: 944 | Name: wininit.exe | CPU: 0.0%
PID: 964 | Name: csrss.exe | CPU: 0.0%
PID: 968 | Name: lsass.exe | CPU: 0.0%
PID: 1084 | Name: svchost.exe | CPU: 0.0%
PID: 1124 | Name: chrome.exe | CPU: 0.0%
PID: 1140 | Name: svchost.exe | CPU: 0.0%
PID: 1172 | Name: fontdrvhost.exe | CPU: 0.0%
PID: 1180 | Name: fontdrvhost.exe | CPU: 0.0%
PID: 1240 | Name: WUDFHost.exe | CPU: 0.0%
PID: 1296 | Name: svchost.exe | CPU: 0.0%
PID: 1356 | Name: svchost.exe | CPU: 0.0%
PID: 1360 | Name: svchost.exe | CPU: 0.0%
PID: 1432 | Name: WUDFHost.exe | CPU: 0.0%
PID: 1504 | Name: Discord.exe | CPU: 0.0%
PID: 1512 | Name: WUDFHost.exe | CPU: 0.0%
PID: 1548 | Name: svchost.exe | CPU: 0.0%
PID: 1576 | Name: svchost.exe | CPU: 0.0%
PID: 1588 | Name: ctfmon.exe | CPU: 0.0%
PID: 1604 | Name: svchost.exe | CPU: 0.0%
PID: 1612 | Name: chrome.exe | CPU: 0.0%
PID: 1656 | Name: svchost.exe | CPU: 0.0%
PID: 1668 | Name: svchost.exe | CPU: 0.0%
PID: 1676 | Name: svchost.exe | CPU: 0.0%
PID: 1700 | Name: svchost.exe | CPU: 0.0%
PID: 1796 | Name: svchost.exe | CPU: 0.0%
PID: 1804 | Name: svchost.exe | CPU: 0.0%
PID: 1840 | Name: dwm.exe | CPU: 0.0%
PID: 1924 | Name: svchost.exe | CPU: 0.0%
PID: 2016 | Name: svchost.exe | CPU: 0.0%
PID: 2024 | Name: svchost.exe | CPU: 0.0%
PID: 2068 | Name: IntelCpHDCPSvc.exe | CPU: 0.0%
PID: 2096 | Name: svchost.exe | CPU: 0.0%
PID: 2192 | Name: svchost.exe | CPU: 0.0%
PID: 2224 | Name: svchost.exe | CPU: 0.0%
PID: 2240 | Name: svchost.exe | CPU: 0.0%
PID: 2492 | Name: RuntimeBroker.exe | CPU: 0.0%
PID: 2584 | Name: svchost.exe | CPU: 0.0%
PID: 2608 | Name: svchost.exe | CPU: 0.0%
PID: 2672 | Name: Discord.exe | CPU: 0.0%
PID: 2676 | Name: Discord.exe | CPU: 0.0%
PID: 2724 | Name: svchost.exe | CPU: 0.0%
PID: 2732 | Name: svchost.exe | CPU: 0.0%
PID: 2744 | Name: RuntimeBroker.exe | CPU: 0.0%
PID: 2784 | Name: svchost.exe | CPU: 0.0%
PID: 2848 | Name: cmd.exe | CPU: 0.0%
PID: 2872 | Name: svchost.exe | CPU: 0.0%
PID: 2896 | Name: svchost.exe | CPU: 0.0%
PID: 3068 | Name: conhost.exe | CPU: 0.0%
PID: 3092 | Name: SynTPEnhService.exe | CPU: 0.0%
PID: 3148 | Name: svchost.exe | CPU: 0.0%
PID: 3196 | Name: svchost.exe | CPU: 0.0%
PID: 3200 | Name: svchost.exe | CPU: 0.0%
PID: 3244 | Name: userinit.exe | CPU: 0.0%
PID: 3256 | Name: svchost.exe | CPU: 0.0%
PID: 3264 | Name: svchost.exe | CPU: 0.0%
PID: 3280 | Name: svchost.exe | CPU: 0.0%
PID: 3340 | Name: MemCompression | CPU: 0.0%
PID: 3384 | Name: svchost.exe | CPU: 0.0%
PID: 3392 | Name: svchost.exe | CPU: 0.0%
